step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
202,0.88869,0.77778,,,,
203,0.04099,1.0,,,,
204,0.46541,0.8,,,,
205,0.67632,0.83333,,,,
206,0.24628,0.88889,,,,
207,0.27317,0.90909,,,,
208,0.04673,1.0,,,,
209,0.27598,0.83333,,,,
210,1.84593,0.6,,,,
211,0.25366,1.0,,,,
212,0.79369,0.83333,,,,
213,0.91742,0.74074,,,,
214,0.47796,0.66667,,,,
215,0.24763,0.88889,,,,
216,0.42918,0.81481,,,,
217,0.03686,1.0,,,,
218,0.15549,1.0,,,,
219,0.94965,0.8,,,,
220,0.16038,0.90909,,,,
221,1.07861,0.90909,,,,
222,1.91399,0.66667,,,,
223,2.72006,0.4,,,,
224,1.32027,0.83333,,,,
225,1.10678,0.83333,,,,
226,0.04714,1.0,,,,
227,0.38037,0.88462,,,,
228,0.64514,0.90323,,,,
229,0.27192,0.77778,,,,
230,0.9417,0.71429,,,,
231,1.02828,0.75,,,,
232,0.94542,0.76923,,,,
233,1.831,0.36364,,,,
234,0.77493,0.6875,,,,
235,0.77701,0.72222,,,,
236,0.01609,1.0,,,,
237,1.97889,0.66667,,,,
238,1.23072,0.75,,,,
239,0.65135,0.69231,,,,
240,0.19473,1.0,,,,
241,0.80361,0.86667,,,,
242,0.26299,0.85714,,,,
243,1.55787,0.66667,,,,
244,0.49378,0.81818,,,,
245,0.14422,1.0,,,,
246,0.03398,1.0,,,,
247,0.45053,0.88889,,,,
248,1.01462,0.64706,,,,
249,0.19735,1.0,,,,
250,0.32526,0.95238,,,,
251,0.22104,0.91667,,,,
252,0.05106,1.0,,,,
253,0.05796,1.0,,,,
254,0.21815,0.9,,,,
255,0.45185,0.7619,,,,
256,0.39432,0.88235,,,,
257,0.02087,1.0,,,,
258,0.02046,1.0,,,,
259,0.79129,0.80952,,,,
260,0.83622,0.6,,,,
261,0.00154,1.0,,,,
262,0.01515,1.0,,,,
263,0.25995,0.92308,,,,
264,0.21536,1.0,,,,
265,0.7066,0.79167,,,,
266,0.51819,0.75,,,,
267,0.73255,0.76923,,,,
268,0.04356,1.0,,,,
269,0.97434,0.6,,,,
270,0.17456,1.0,,,,
271,0.04788,1.0,,,,
272,0.25641,0.92308,,,,
273,0.01085,1.0,,,,
274,0.52775,0.8,,,,
275,0.33143,0.9,,,,
276,0.00018,1.0,,,,
277,0.05099,1.0,,,,
278,0.10269,1.0,,,,
279,0.2775,0.83333,,,,
280,0.28099,1.0,,,,
281,0.23622,0.89474,,,,
282,0.25676,0.90476,,,,
283,1.32852,0.8125,,,,
284,0.3295,0.83333,,,,
285,0.16474,0.88889,,,,
286,0.00166,1.0,,,,
287,0.74823,0.88889,,,,
288,1.13627,0.83333,,,,
289,0.24131,0.90909,,,,
290,1.08539,0.72603,,,,
291,0.08548,1.0,,,,
292,0.04505,1.0,,,,
293,0.33109,1.0,,,,
294,0.55441,0.84615,,,,
295,0.12678,1.0,,,,
296,0.39446,0.90909,,,,
297,0.42991,1.0,,,,
298,0.06326,1.0,,,,
299,0.00548,1.0,,,,
300,0.01299,1.0,,,,
301,1.25801,0.72727,,,,
302,0.06833,1.0,,,,
303,0.0172,1.0,,,,
304,0.24505,1.0,,,,
305,0.09521,1.0,,,,
306,0.06284,1.0,,,,
307,0.02419,1.0,,,,
308,0.70054,0.6875,,,,
309,0.00701,1.0,,,,
310,0.18881,0.89474,,,,
311,0.00359,1.0,,,,
312,0.07045,1.0,,,,
313,0.0483,1.0,,,,
314,0.07438,0.96296,,,,
315,0.01668,1.0,,,,
316,0.28116,0.875,,,,
317,0.09324,1.0,,,,
318,0.00485,1.0,,,,
319,0.17909,0.93333,,,,
320,0.05456,0.96154,,,,
321,0.28694,0.75,,,,
322,0.40081,0.88235,,,,
323,0.16469,0.92308,,,,
324,0.0235,1.0,,,,
325,0.45064,0.81818,,,,
326,0.0097,1.0,,,,
327,0.3249,0.81818,,,,
328,0.54759,0.69231,,,,
329,7e-05,1.0,,,,
330,0.03662,1.0,,,,
331,0.11156,1.0,,,,
332,0.25241,0.94737,,,,
333,0.04093,1.0,,,,
334,0.1181,0.92308,,,,
335,2e-05,1.0,,,,
336,6e-05,1.0,,,,
337,0.18152,1.0,,,,
338,0.23825,0.88889,,,,
339,0.16842,0.90476,,,,
340,1.84862,0.75,,,,
341,0.01854,1.0,,,,
342,0.00029,1.0,,,,
343,0.00122,1.0,,,,
344,0.21781,0.92308,,,,
345,0.00042,1.0,,,,
346,0.00298,1.0,,,,
347,1.17444,0.85714,,,,
348,0.13652,0.94737,,,,
349,0.62032,0.85714,,,,
350,0.16676,0.90909,,,,
351,0.2889,0.83333,,,,
352,0.04129,1.0,,,,
353,0.32502,0.88889,,,,
354,0.00025,1.0,,,,
355,3e-05,1.0,,,,
356,0.00612,1.0,,,,
357,0.03994,1.0,,,,
358,0.00189,1.0,,,,
359,0.64416,0.8,,,,
360,0.45629,0.83333,,,,
361,0.04434,1.0,,,,
362,0.0247,1.0,,,,
363,0.01361,1.0,,,,
364,0.02117,1.0,,,,
365,0.17487,0.875,,,,
366,0.05466,0.96774,,,,
367,0.09339,1.0,,,,
368,0.71106,0.83333,,,,
369,0.00927,1.0,,,,
370,0.0822,1.0,,,,
371,6e-05,1.0,,,,
372,2.06657,0.75,,,,
373,0.02815,1.0,,,,
374,0.02681,1.0,,,,
375,0.00649,1.0,,,,
376,0.37042,0.95238,,,,
377,0.03368,1.0,,,,
378,0.00589,1.0,,,,
379,0.00102,1.0,,,,
380,0.01801,1.0,,,,
381,0.00011,1.0,,,,
382,0.06708,1.0,,,,
383,0.03801,1.0,,,,
384,0.02097,1.0,,,,
385,0.91348,0.75,,,,
386,0.43098,0.6,,,,
387,0.21148,0.9375,,,,
388,0.09759,0.95238,,,,
389,0.00724,1.0,,,,
390,0.1605,1.0,,,,
391,0.04103,1.0,,,,
392,0.28751,0.90476,,,,
393,8e-05,1.0,,,,
394,0.05604,1.0,,,,
395,0.04437,1.0,,,,
396,0.4249,0.94118,,,,
397,0.00069,1.0,,,,
398,0.00049,1.0,,,,
399,5e-05,1.0,,,,
400,0.15185,0.92308,,,,
401,0.00205,1.0,,,,
402,0.01181,1.0,,,,
403,0.14445,0.92308,,,,
404,0.02464,1.0,,,,
405,0.05649,1.0,,,,
406,0.00258,1.0,,,,
407,0.12517,0.91667,,,,
408,0.01978,1.0,,,,
409,0.00695,1.0,,,,
